lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
Group_27,0.7,0.32,1,1.0,0.7,0.07,1,1.0,0,0,1,0.5,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.47,1.0
Group_28,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.49,1,1.0,0.51,1.0
Group_29,0.7,0.23,1,1.0,0,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.48,0.67
Group_30,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0,0,1,0.5,0.7,0.28,1,0.5,1.0,0.91,1,1.0,0.42,1.0
Group_31,0.7,0.26,1,1.0,0.7,0.23,1,1.0,1.0,0.01,1,1.0,0,0,1,1.0,0.7,0.1,1,1.0,0,0.18,1,1.0,0.34,1.0
Group_32,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.47,1.0
Group_33,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.49,1,1.0,0.49,0.67
Group_34,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0,0,1,0.5,0.7,0.28,1,0.5,1.0,0.91,1,1.0,0.47,1.0
Group_35,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.45,1.0
Group_36,0.7,0.23,1,1.0,0,0.2,1,1.0,0.7,0.67,1,1.0,0,0,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.39,0.67
Group_37,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.42,0.67
Group_38,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.49,1,1.0,0.4,1.0
Group_39,0.7,0.23,1,1.0,0,0.2,1,1.0,0.7,0.67,1,1.0,0,0,1,0.5,0.7,0.32,1,1.0,0,0,1,1.0,0.45,0.67
Group_40,0.7,0.23,1,1.0,0,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.56,0.67
Group_41,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.36,1.0
Group_42,0.7,0.43,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,1.0,0.99,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.53,0.67
Group_43,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.49,1,1.0,0.38,0.67
Group_44,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,0,1.0,0.7,0.49,1,1.0,1.0,0.91,1,1.0,0.42,0
Group_45,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.43,0.67
Group_46,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,0,1.0,0.7,0.49,1,1.0,1.0,0.91,1,1.0,0.47,0
Group_47,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.47,1.0
Group_48,0.7,0.26,1,1.0,0.7,0.23,1,1.0,1.0,0.01,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.43,1.0
Group_49,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.33,1.0
Group_50,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.37,1.0
Group_51,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.38,1.0
Group_52,0.7,0.32,1,1.0,0.7,0.07,1,1.0,0,0,1,0.5,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.44,1.0
Group_53,0.7,0.43,1,1.0,0.7,0.32,1,1.0,1.0,0.74,1,1.0,1.0,0.99,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.53,0.67
Group_54,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,1.0,0.74,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.45,1.0
Group_55,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.45,1.0
Group_56,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,0,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.45,1.0
Group_57,0.7,0.43,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,1.0,0.43,0,1.0,1.0,0.3,1,1.0,0,0.1,1,1.0,0.37,0.67
Group_58,0.7,0.23,1,1.0,0,0.2,1,1.0,0.7,0.67,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.39,0.67
Group_59,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.44,1.0
Group_60,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,0,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.49,1.0
Group_61,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,1.0,0.99,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.51,0.67
Group_62,0.7,0.23,1,1.0,0,0.2,1,1.0,0.7,0.67,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.47,0.67
Group_63,0.7,0.32,1,1.0,0.7,0.07,1,1.0,0.7,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.4,0
Group_64,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,0.7,0,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.44,1.0
Group_65,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.37,1.0
Group_66,0.7,0.26,1,1.0,0.7,0.23,1,1.0,1.0,0.01,1,1.0,0,0,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.35,1.0
Group_67,0.7,0.29,1,1.0,0.7,0.26,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.1,1,1.0,0,0.18,1,1.0,0.42,1.0
Group_68,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.44,1.0
Group_69,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.09,1,1.0,0,0,1,1.0,0.7,0.1,1,1.0,0,0.18,1,1.0,0.35,1.0
Group_70,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.46,1.0
Group_71,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.42,1.0
Group_72,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,1.0,0.99,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.52,0.67
Group_73,0.7,0.43,1,1.0,0.7,0.32,1,1.0,1.0,0.74,1,1.0,1.0,0.43,0,1.0,1.0,0.3,1,1.0,0,0.1,1,1.0,0.37,0.67
Group_74,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0,0,1,0.5,0.7,0.28,1,0.5,1.0,0.91,1,1.0,0.49,1.0
Group_75,0.7,0.26,1,1.0,0.7,0.23,1,1.0,1.0,0.01,1,1.0,0,0,1,0.5,0.7,0.32,1,1.0,0,0,1,1.0,0.4,1.0
Group_76,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0,0,1,0.5,0.7,0.28,1,0.5,1.0,0.91,1,1.0,0.47,1.0
Group_77,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,1.0,0.43,0,1.0,1.0,0.3,1,1.0,0,0.1,1,1.0,0.35,0.67
Group_78,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.74,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.53,1.0
Group_79,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.09,1,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.44,0.67
Group_80,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.39,1,1.0,0,0,1,1.0,0.7,0.1,1,1.0,0,0.18,1,1.0,0.35,1.0
Group_81,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.39,1,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.44,0.67
Group_82,0.7,0.23,1,1.0,0,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.42,0.67
Group_83,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.4,1.0
Group_84,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.45,1.0
Group_85,0.7,0.49,1,1.0,1.0,0.76,1,1.0,0,0,0,1.0,0,0,1,1.0,0.7,0.1,1,1.0,0,0.18,1,1.0,0.46,1.0
Group_86,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,1.0,0.43,0,1.0,1.0,0.3,1,1.0,0,0.1,1,1.0,0.36,0.67
Group_87,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.09,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.44,1.0
Group_88,0.7,0.29,1,1.0,0.7,0.26,1,1.0,0,0,1,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.51,0.67
Group_89,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0,0,0,0.5,0.7,0,0,1.0,0.7,0.49,1,1.0,1.0,0.91,1,1.0,0.47,0
Group_90,0.7,0.29,1,1.0,0.7,0.26,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.51,1.0
Group_91,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.52,1.0
Group_92,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0.7,0,1,1.0,1.0,0.91,1,1.0,0.7,0.04,1,0.5,0.5,1.0
Group_93,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.24,1,1.0,0.7,0.27,1,1.0,0.38,0
Group_94,0,0,1,1.0,0,0.02,1,0.5,0,0,1,1.0,0.7,0,0,1.0,0.7,0.49,1,1.0,1.0,0.91,1,1.0,0.48,0
Group_95,0.7,0.49,1,1.0,1.0,0.76,1,1.0,0,0,0,1.0,0.7,0.67,1,1.0,0.7,0.51,1,1.0,0.7,0.1,1,1.0,0.56,0.67
Group_96,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,1.0,0.99,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.53,1.0
Group_97,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.42,1.0
Group_98,0.7,0.23,1,1.0,0,0.2,1,1.0,0,0,1,1.0,0,0,0,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.54,0.67
Group_99,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.39,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.44,1.0
Group_100,0.7,0.26,1,1.0,0.7,0.23,1,1.0,1.0,0.01,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.34,1.0
Group_101,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,1.0,0.99,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.53,1.0
Group_102,0.7,0.23,1,1.0,0,0.2,1,1.0,0.7,0.67,1,1.0,0,0,1,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.33,0.67
Group_103,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.24,1,1.0,0.7,0.27,1,1.0,0.42,0
Group_104,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.24,1,1.0,0.7,0.27,1,1.0,0.43,0
Group_105,0.7,0.26,1,1.0,0.7,0.23,1,1.0,1.0,0.01,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.42,1.0
Group_106,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.09,1,1.0,0,0,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.35,1.0
Group_107,0.7,0.49,1,1.0,1.0,0.76,1,1.0,0,0,0,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.55,1.0
Group_108,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.41,0.33
Group_109,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,1.0,0.43,0,1.0,1.0,0.3,1,1.0,0,0.1,1,1.0,0.37,0.67
Group_110,0.7,0.23,1,1.0,0,0.2,1,1.0,0.7,0.67,1,1.0,0,0,0,1.0,0.7,0.27,1,1.0,0.7,0.36,1,0.5,0.45,0.67
Group_111,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,0.5,0.7,0.36,1,0.5,0.7,0.27,1,1.0,0.35,1.0
Group_112,0.7,0.29,1,1.0,0.7,0.26,1,1.0,1.0,0.09,1,1.0,0,0,1,0.5,0.7,0.32,1,1.0,0,0,1,1.0,0.41,1.0
Group_113,0.7,0.29,1,1.0,0.7,0.26,1,1.0,0,0,1,1.0,0,0,1,1.0,0,0.18,1,1.0,0,0,1,1.0,0.42,1.0
Group_114,0,0.02,1,0.5,0.7,0.49,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.84,1,1.0,0,0,1,1.0,0.46,0.33
